Gene symbol	Gene name	Transcript	Exons in transcript	CDS length
ADTRP	androgen dependent TFPI regulating protein	NM_001143948.2	7	747
AEBP1	AE binding protein 1	NM_001129.5	21	3477
AEBP2	AE binding protein 2	NM_001114176.2	9	1554
AEN	apoptosis enhancing nuclease	NM_022767.4	4	978
AFAP1	actin filament associated protein 1	NM_001134647.2	18	2445
AFAP1L1	actin filament associated protein 1 like 1	NM_152406.4	19	2307
AFAP1L2	actin filament associated protein 1 like 2	NM_001287824.2	20	2616
AFDN	afadin, adherens junction formation factor	NM_001291964.2	33	5346
AFF1	ALF transcription elongation factor 1	NM_001166693.3	21	3657
AFF2	ALF transcription elongation factor 2	NM_002025.4	21	3936
AFF3	ALF transcription elongation factor 3	NM_002285.3	24	3681
AFF4	ALF transcription elongation factor 4	NM_014423.4	21	3492
AFG1L	AFG1 like ATPase	NM_145315.5	13	1446
AFG3L2	AFG3 like matrix AAA peptidase subunit 2	NM_006796.3	17	2394
AFM	afamin	NM_001133.2	15	1800
AFMID	arylformamidase	NM_001145526.3	11	927
AFP	alpha fetoprotein	NM_001134.3	15	1830
AFTPH	aftiphilin	NM_203437.4	10	2811
AGA	aspartylglucosaminidase	NM_000027.4	9	1041
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	NM_014914.5	17	2415
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	NM_001122772.3	19	3579
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	NM_031946.7	18	2736
AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	NM_001276343.3	8	2061
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	NM_001144000.4	8	2061
AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	NM_001077665.3	8	2061
AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	NM_001190810.1	8	1977
AGBL1	AGBL carboxypeptidase 1	NM_152336.4	25	3339
AGBL2	AGBL carboxypeptidase 2	NM_024783.4	19	2709
AGBL3	AGBL carboxypeptidase 3	NM_178563.4	17	2763
AGBL4	AGBL carboxypeptidase 4	NM_001323574.2	14	1548
AGBL5	AGBL carboxypeptidase 5	NM_021831.6	15	2661
AGER	advanced glycosylation end-product specific receptor	NM_001136.5	11	1215
AGFG1	ArfGAP with FG repeats 1	NM_001135187.2	14	1755
AGFG2	ArfGAP with FG repeats 2	NM_006076.5	12	1446
AGGF1	angiogenic factor with G-patch and FHA domains 1	NM_018046.5	14	2145
AGK	acylglycerol kinase	NM_018238.4	16	1269
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	NM_000642.3	34	4599
AGMAT	agmatinase	NM_024758.5	7	1059
AGMO	alkylglycerol monooxygenase	NM_001004320.2	13	1338
AGO1	argonaute RISC component 1	NM_012199.5	19	2574
AGO2	argonaute RISC catalytic component 2	NM_012154.5	19	2580
AGO3	argonaute RISC catalytic component 3	NM_024852.4	19	2583
AGO4	argonaute RISC component 4	NM_017629.4	18	2586
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	NM_006411.4	7	852
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	NM_006412.4	6	837
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	NM_001037553.2	9	1131
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	NM_020133.3	9	1137
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	NM_018361.5	8	1095
AGPS	alkylglycerone phosphate synthase	NM_003659.4	20	1977
AGR2	anterior gradient 2, protein disulphide isomerase family member	NM_006408.4	8	528
AGR3	anterior gradient 3, protein disulphide isomerase family member	NM_176813.5	8	501
AGRN	agrin	NM_198576.4	36	6138
AGRP	agouti related neuropeptide	NM_001138.2	4	399
AGT	angiotensinogen	NM_001382817.3	5	1431
AGTPBP1	ATP/GTP binding carboxypeptidase 1	NM_001330701.2	26	3681
AGTR1	angiotensin II receptor type 1	NM_031850.4	4	1080
AGTR2	angiotensin II receptor type 2	NM_000686.5	3	1092
AGTRAP	angiotensin II receptor associated protein	NM_001040196.2	6	468
AGXT	alanine--glyoxylate aminotransferase	NM_000030.3	11	1179
AGXT2	alanine--glyoxylate aminotransferase 2	NM_031900.4	14	1545
AHCTF1	AT-hook containing transcription factor 1	NM_015446.5	36	6828
AHCY	adenosylhomocysteinase	NM_000687.4	10	1299
AHCYL1	adenosylhomocysteinase like 1	NM_006621.7	17	1593
AHCYL2	adenosylhomocysteinase like 2	NM_001130720.3	17	1833
AHDC1	AT-hook DNA binding motif containing 1	NM_001029882.3	7	4812
AHI1	Abelson helper integration site 1	NM_017651.5	28	3591
AHNAK	AHNAK nucleoprotein	NM_001620.3	5	17673
AHNAK2	AHNAK nucleoprotein 2	NM_138420.4	7	17388
AHR	aryl hydrocarbon receptor	NM_001621.5	11	2547
AHRR	aryl hydrocarbon receptor repressor	NM_001377236.1	11	2094
AHSA1	activator of HSP90 ATPase activity 1	NM_012111.3	9	1017
AHSG	alpha 2-HS glycoprotein	NM_001622.4	7	1104
AHSP	alpha hemoglobin stabilizing protein	NM_016633.4	3	309
AICDA	activation induced cytidine deaminase	NM_020661.4	5	597
AIDA	axin interactor, dorsalization associated	NM_022831.4	10	921
AIF1	allograft inflammatory factor 1	NM_001623.5	6	444
AIF1L	allograft inflammatory factor 1 like	NM_001185095.2	7	531
AIFM1	apoptosis inducing factor mitochondria associated 1	NM_004208.4	16	1842
AIFM2	apoptosis inducing factor mitochondria associated 2	NM_001198696.2	9	1122
AIFM3	apoptosis inducing factor mitochondria associated 3	NM_144704.3	21	1818
AIG1	androgen induced 1	NM_016108.4	6	717
AIM2	absent in melanoma 2	NM_004833.3	6	1032
AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	NM_004757.4	7	939
AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2	NM_006303.4	4	963
AIP	aryl hydrocarbon receptor interacting protein	NM_003977.4	6	993
AIPL1	aryl hydrocarbon receptor interacting protein like 1	NM_014336.5	6	1155
AIRE	autoimmune regulator	NM_000383.4	14	1638
AJAP1	adherens junctions associated protein 1	NM_001042478.2	6	1236
AJM1	apical junction component 1 homolog	NM_001080482.5	3	2931
AJUBA	ajuba LIM protein	NM_032876.6	8	1617
AK1	adenylate kinase 1	NM_000476.3	7	585
AK2	adenylate kinase 2	NM_001625.4	6	720
AK3	adenylate kinase 3	NM_016282.4	5	684
AK4	adenylate kinase 4	NM_001005353.3	6	672
AK5	adenylate kinase 5	NM_174858.3	14	1689
AK6	adenylate kinase 6	NM_016283.5	5	519
AK7	adenylate kinase 7	NM_152327.5	18	2172
AK8	adenylate kinase 8	NM_152572.3	13	1440
AK9	adenylate kinase 9	NM_001145128.3	41	5736
AKAIN1	A-kinase anchor inhibitor 1	NM_001330553.2	2	231
AKAP1	A-kinase anchoring protein 1	NM_001242902.1	12	2712
AKAP10	A-kinase anchoring protein 10	NM_007202.4	15	1989
AKAP11	A-kinase anchoring protein 11	NM_016248.4	13	5706
AKAP12	A-kinase anchoring protein 12	NM_005100.4	5	5349
AKAP13	A-kinase anchoring protein 13	NM_007200.5	37	8442
AKAP14	A-kinase anchoring protein 14	NM_178813.6	7	594
AKAP17A	A-kinase anchoring protein 17A	NM_005088.3	5	2088
AKAP3	A-kinase anchoring protein 3	NM_001278309.2	6	2562
AKAP4	A-kinase anchoring protein 4	NM_003886.3	6	2565
AKAP5	A-kinase anchoring protein 5	NM_004857.3	2	1284
AKAP6	A-kinase anchoring protein 6	NM_004274.5	14	6960
AKAP7	A-kinase anchoring protein 7	NM_016377.4	8	1047
AKAP8	A-kinase anchoring protein 8	NM_005858.4	14	2079
AKAP8L	A-kinase anchoring protein 8 like	NM_014371.4	14	1941
AKAP9	A-kinase anchoring protein 9	NM_005751.5	50	11724
AKIP1	A-kinase interacting protein 1	NM_020642.4	6	633
AKIRIN1	akirin 1	NM_024595.3	5	579
AKIRIN2	akirin 2	NM_018064.4	5	612
AKNA	AT-hook transcription factor	NM_030767.5	22	4320
AKNAD1	AKNA domain containing 1	NM_152763.5	16	2511
AKR1A1	aldo-keto reductase family 1 member A1	NM_001202413.2	10	978
AKR1B1	aldo-keto reductase family 1 member B	NM_001628.4	10	951
AKR1B10	aldo-keto reductase family 1 member B10	NM_020299.5	10	951
AKR1B15	aldo-keto reductase family 1 member B15	NM_001080538.3	12	1035
AKR1C1	aldo-keto reductase family 1 member C1	NM_001353.6	9	972
AKR1C2	aldo-keto reductase family 1 member C2	NM_001354.6	11	972
AKR1C3	aldo-keto reductase family 1 member C3	NM_003739.6	9	972
AKR1C4	aldo-keto reductase family 1 member C4	NM_001818.5	9	972
AKR1D1	aldo-keto reductase family 1 member D1	NM_005989.4	9	981
AKR1E2	aldo-keto reductase family 1 member E2	NM_001040177.3	10	963
AKR7A2	aldo-keto reductase family 7 member A2	NM_003689.4	7	1080
AKR7A3	aldo-keto reductase family 7 member A3	NM_012067.3	7	996
AKT1	AKT serine/threonine kinase 1	NM_005163.2	14	1443
AKT1S1	AKT1 substrate 1	NM_032375.5	5	831
AKT2	AKT serine/threonine kinase 2	NM_001626.6	14	1446
AKT3	AKT serine/threonine kinase 3	NM_005465.7	14	1440
AKTIP	AKT interacting protein	NM_001012398.3	10	879
ALAD	aminolevulinate dehydratase	NM_000031.6	12	993
ALAS1	5'-aminolevulinate synthase 1	NM_000688.6	12	1923
ALAS2	5'-aminolevulinate synthase 2	NM_000032.5	11	1764
ALB	albumin	NM_000477.7	15	1830
ALCAM	activated leukocyte cell adhesion molecule	NM_001627.4	16	1752
ALDH16A1	aldehyde dehydrogenase 16 family member A1	NM_153329.4	17	2409
ALDH18A1	aldehyde dehydrogenase 18 family member A1	NM_002860.4	18	2388
ALDH1A1	aldehyde dehydrogenase 1 family member A1	NM_000689.5	13	1506
ALDH1A2	aldehyde dehydrogenase 1 family member A2	NM_003888.4	13	1557
ALDH1A3	aldehyde dehydrogenase 1 family member A3	NM_000693.4	13	1539
ALDH1B1	aldehyde dehydrogenase 1 family member B1	NM_000692.5	2	1554
ALDH1L1	aldehyde dehydrogenase 1 family member L1	NM_001270364.2	23	2739
ALDH1L2	aldehyde dehydrogenase 1 family member L2	NM_001034173.4	23	2772
ALDH2	aldehyde dehydrogenase 2 family member	NM_000690.4	13	1554
ALDH3A1	aldehyde dehydrogenase 3 family member A1	NM_000691.5	11	1362
ALDH3A2	aldehyde dehydrogenase 3 family member A2	NM_000382.3	10	1458
ALDH3B1	aldehyde dehydrogenase 3 family member B1	NM_000694.4	10	1404
ALDH3B2	aldehyde dehydrogenase 3 family member B2	NM_001354345.3	11	1158
ALDH4A1	aldehyde dehydrogenase 4 family member A1	NM_003748.4	15	1692
ALDH5A1	aldehyde dehydrogenase 5 family member A1	NM_001080.3	10	1608
ALDH6A1	aldehyde dehydrogenase 6 family member A1	NM_005589.4	12	1608
ALDH7A1	aldehyde dehydrogenase 7 family member A1	NM_001182.5	18	1620
ALDH8A1	aldehyde dehydrogenase 8 family member A1	NM_022568.4	7	1464
ALDH9A1	aldehyde dehydrogenase 9 family member A1	NM_000696.4	11	1557
ALDOA	aldolase, fructose-bisphosphate A	NM_184041.5	9	1095
ALDOB	aldolase, fructose-bisphosphate B	NM_000035.4	9	1095
ALDOC	aldolase, fructose-bisphosphate C	NM_005165.3	9	1095
ALG1	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase	NM_019109.5	13	1395
ALG10	ALG10 alpha-1,2-glucosyltransferase	NM_032834.4	3	1422
ALG10B	ALG10 alpha-1,2-glucosyltransferase B	NM_001013620.4	3	1422
ALG11	ALG11 alpha-1,2-mannosyltransferase	NM_001004127.3	4	1479
ALG12	ALG12 alpha-1,6-mannosyltransferase	NM_024105.4	10	1467
ALG13	ALG13 UDP-N-acetylglucosaminyltransferase subunit	NM_001099922.3	27	3414
ALG14	ALG14 UDP-N-acetylglucosaminyltransferase subunit	NM_144988.4	4	651
ALG1L2	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2	NM_001136152.1	8	648
ALG2	ALG2 alpha-1,3/1,6-mannosyltransferase	NM_033087.4	2	1251
ALG3	ALG3 alpha-1,3- mannosyltransferase	NM_005787.6	9	1317
ALG5	ALG5 dolichyl-phosphate beta-glucosyltransferase	NM_013338.5	10	975
ALG6	ALG6 alpha-1,3-glucosyltransferase	NM_013339.4	15	1524
ALG8	ALG8 alpha-1,3-glucosyltransferase	NM_024079.5	13	1581
ALG9	ALG9 alpha-1,2-mannosyltransferase	NM_024740.2	15	1857
ALK	ALK receptor tyrosine kinase	NM_004304.5	29	4863
ALKAL1	ALK and LTK ligand 1	NM_207413.4	5	390
ALKAL2	ALK and LTK ligand 2	NM_001002919.3	6	459
ALKBH1	alkB homolog 1, histone H2A dioxygenase	NM_006020.3	6	1170
ALKBH2	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase	NM_001001655.3	4	786
ALKBH3	alkB homolog 3, alpha-ketoglutarate dependent dioxygenase	NM_139178.4	10	861
ALKBH4	alkB homolog 4, lysine demethylase	NM_017621.4	3	909
ALKBH5	alkB homolog 5, RNA demethylase	NM_017758.4	4	1185
ALKBH6	alkB homolog 6	NM_032878.5	7	717
ALKBH7	alkB homolog 7	NM_032306.4	4	666
ALKBH8	alkB homolog 8, tRNA methyltransferase	NM_001301010.3	12	1995
ALLC	allantoicase	NM_018436.4	12	1176
ALMS1	ALMS1 centrosome and basal body associated protein	NM_015120.4	23	12504
ALOX12	arachidonate 12-lipoxygenase, 12S type	NM_000697.3	14	1992
ALOX12B	arachidonate 12-lipoxygenase, 12R type	NM_001139.3	15	2106
ALOX15	arachidonate 15-lipoxygenase	NM_001140.5	14	1989
ALOX15B	arachidonate 15-lipoxygenase type B	NM_001141.3	14	2031
ALOX5	arachidonate 5-lipoxygenase	NM_000698.5	14	2025
ALOX5AP	arachidonate 5-lipoxygenase activating protein	NM_001629.4	5	486
ALOXE3	arachidonate lipoxygenase 3	NM_021628.3	16	2136
ALPG	alkaline phosphatase, germ cell	NM_031313.3	11	1599
ALPI	alkaline phosphatase, intestinal	NM_001631.5	11	1587
ALPK1	alpha kinase 1	NM_025144.4	16	3735
ALPK2	alpha kinase 2	NM_052947.4	13	6513
ALPK3	alpha kinase 3	NM_020778.5	14	5118
ALPL	alkaline phosphatase, biomineralization associated	NM_000478.6	12	1575
ALPP	alkaline phosphatase, placental	NM_001632.5	11	1608
ALS2	alsin Rho guanine nucleotide exchange factor ALS2	NM_020919.4	34	4974
ALS2CL	ALS2 C-terminal like	NM_147129.5	26	2862
ALX1	ALX homeobox 1	NM_006982.3	4	981
ALX3	ALX homeobox 3	NM_006492.3	4	1032
ALX4	ALX homeobox 4	NM_021926.4	4	1236
ALYREF	Aly/REF export factor	NM_005782.4	6	795
AMACR	alpha-methylacyl-CoA racemase	NM_014324.6	5	1149
AMBN	ameloblastin	NM_016519.6	13	1344
AMBP	alpha-1-microglobulin/bikunin precursor	NM_001633.4	10	1059
AMBRA1	autophagy and beclin 1 regulator 1	NM_001267782.2	20	3906
AMD1	adenosylmethionine decarboxylase 1	NM_001634.6	9	1005
AMDHD1	amidohydrolase domain containing 1	NM_152435.3	9	1281
AMDHD2	amidohydrolase domain containing 2	NM_001145815.2	11	1785
AMELX	amelogenin X-linked	NM_182680.1	7	618
AMELY	amelogenin Y-linked	NM_001143.2	7	579
AMER1	APC membrane recruitment protein 1	NM_152424.4	2	3408
AMER2	APC membrane recruitment protein 2	NM_152704.4	1	2016
AMER3	APC membrane recruitment protein 3	NM_001105193.2	2	2586
AMFR	autocrine motility factor receptor	NM_001323512.2	15	2028
AMH	anti-Mullerian hormone	NM_000479.5	5	1683
AMHR2	anti-Mullerian hormone receptor type 2	NM_020547.3	11	1722
AMIGO1	adhesion molecule with Ig like domain 1	NM_020703.4	2	1482
AMIGO2	adhesion molecule with Ig like domain 2	NM_001143668.1	3	1569
AMIGO3	adhesion molecule with Ig like domain 3	NM_198722.3	1	1515
AMMECR1	AMMECR nuclear protein 1	NM_015365.3	6	1002
AMMECR1L	AMMECR1 like	NM_001199140.2	8	933
AMN	amnion associated transmembrane protein	NM_030943.4	12	1362
AMN1	antagonist of mitotic exit network 1 homolog	NM_001113402.2	7	777
AMOT	angiomotin	NM_001113490.2	14	3255
AMOTL1	angiomotin like 1	NM_130847.3	13	2871
AMOTL2	angiomotin like 2	NM_001278683.1	10	2514
AMPD1	adenosine monophosphate deaminase 1	NM_000036.3	16	2244
AMPD2	adenosine monophosphate deaminase 2	NM_001368809.2	19	2478
AMPD3	adenosine monophosphate deaminase 3	NM_001025389.2	15	2304
AMPH	amphiphysin	NM_001635.4	21	2088
AMT	aminomethyltransferase	NM_000481.4	9	1212
AMTN	amelotin	NM_212557.4	9	630
AMY1A	amylase alpha 1A	NM_001008221.1	11	1536
AMY1B	amylase alpha 1B	NM_001008218.2	11	1536
AMY1C	amylase alpha 1C	NM_001008219.3	11	1536
AMY2A	amylase alpha 2A	NM_000699.4	10	1536
AMY2B	amylase alpha 2B	NM_020978.4	12	1536
AMZ1	archaelysin family metallopeptidase 1	NM_133463.4	7	1497
AMZ2	archaelysin family metallopeptidase 2	NM_001033574.2	6	909
ANAPC1	anaphase promoting complex subunit 1	NM_022662.4	48	5835
ANAPC10	anaphase promoting complex subunit 10	NM_001256706.2	5	558
ANAPC11	anaphase promoting complex subunit 11	NM_001002244.2	4	591
ANAPC13	anaphase promoting complex subunit 13	NM_001242374.1	3	225
ANAPC15	anaphase promoting complex subunit 15	NM_001330321.2	6	573
ANAPC16	anaphase promoting complex subunit 16	NM_001242546.2	5	333
ANAPC2	anaphase promoting complex subunit 2	NM_013366.4	13	2469
ANAPC4	anaphase promoting complex subunit 4	NM_001286756.2	29	2430
ANAPC5	anaphase promoting complex subunit 5	NM_016237.5	17	2268
ANAPC7	anaphase promoting complex subunit 7	NM_016238.3	11	1698
ANG	angiogenin	NM_001145.4	2	444
ANGEL1	angel homolog 1	NM_015305.4	10	2013
ANGEL2	angel homolog 2	NM_144567.5	9	1635
ANGPT1	angiopoietin 1	NM_001146.5	9	1497
ANGPT2	angiopoietin 2	NM_001147.3	9	1491
ANGPT4	angiopoietin 4	NM_015985.4	9	1512
ANGPTL1	angiopoietin like 1	NM_004673.4	6	1476
ANGPTL2	angiopoietin like 2	NM_012098.3	5	1482
ANGPTL3	angiopoietin like 3	NM_014495.4	7	1383
ANGPTL4	angiopoietin like 4	NM_139314.3	7	1221
ANGPTL5	angiopoietin like 5	NM_178127.5	9	1167
ANGPTL6	angiopoietin like 6	NM_031917.3	6	1413
ANGPTL7	angiopoietin like 7	NM_021146.4	5	1041
ANGPTL8	angiopoietin like 8	NM_018687.7	4	597
ANHX	anomalous homeobox	NM_001191054.1	9	1140
ANK1	ankyrin 1	NM_000037.4	43	5643
ANK2	ankyrin 2	NM_001148.6	46	11874
ANK3	ankyrin 3	NM_020987.5	44	13134
ANKAR	ankyrin and armadillo repeat containing	NM_144708.3	23	4305
ANKDD1A	ankyrin repeat and death domain containing 1A	NM_182703.6	15	1569
ANKDD1B	ankyrin repeat and death domain containing 1B	NM_001276713.2	14	1587
ANKEF1	ankyrin repeat and EF-hand domain containing 1	NM_022096.6	11	2331
ANKFN1	ankyrin repeat and fibronectin type III domain containing 1	NM_153228.3	17	2292
ANKFY1	ankyrin repeat and FYVE domain containing 1	NM_001257999.3	25	3636
ANKH	ANKH inorganic pyrophosphate transport regulator	NM_054027.6	12	1479
ANKHD1	ankyrin repeat and KH domain containing 1	NM_017747.3	34	7629
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3 readthrough	NM_020690.6	36	7854
ANKIB1	ankyrin repeat and IBR domain containing 1	NM_019004.2	20	3270
ANKK1	ankyrin repeat and kinase domain containing 1	NM_178510.2	8	2298
ANKLE1	ankyrin repeat and LEM domain containing 1	NM_152363.6	9	1848
ANKLE2	ankyrin repeat and LEM domain containing 2	NM_015114.3	13	2817
ANKMY1	ankyrin repeat and MYND domain containing 1	NM_001282771.3	18	3093
ANKMY2	ankyrin repeat and MYND domain containing 2	NM_020319.3	10	1326
ANKRA2	ankyrin repeat family A member 2	NM_023039.5	9	942
ANKRD1	ankyrin repeat domain 1	NM_014391.3	9	960
ANKRD10	ankyrin repeat domain 10	NM_017664.4	6	1263
ANKRD11	ankyrin repeat domain containing 11	NM_013275.6	13	7992
ANKRD12	ankyrin repeat domain 12	NM_015208.5	13	6189
ANKRD13A	ankyrin repeat domain 13A	NM_033121.2	15	1773
ANKRD13B	ankyrin repeat domain 13B	NM_152345.5	15	1881
ANKRD13C	ankyrin repeat domain 13C	NM_030816.5	13	1626
ANKRD13D	ankyrin repeat domain 13D	NM_207354.3	15	1818
ANKRD16	ankyrin repeat domain 16	NM_019046.3	8	1086
ANKRD17	ankyrin repeat domain 17	NM_001286771.3	34	7473
ANKRD18A	ankyrin repeat domain 18A	NM_147195.4	16	2979
ANKRD18B	ankyrin repeat domain 18B	NM_001353432.2	20	3546
ANKRD2	ankyrin repeat domain 2	NM_001291218.2	9	1341
ANKRD20A1	ankyrin repeat domain 20 family member A1	NM_032250.5	15	2472
ANKRD22	ankyrin repeat domain 22	NM_144590.3	6	576
ANKRD23	ankyrin repeat domain 23	NM_144994.8	9	918
ANKRD24	ankyrin repeat domain 24	NM_133475.1	22	3441
ANKRD26	ankyrin repeat domain containing 26	NM_014915.3	34	5133
ANKRD27	ankyrin repeat domain 27	NM_032139.3	29	3153
ANKRD28	ankyrin repeat domain 28	NM_015199.4	28	3162
ANKRD29	ankyrin repeat domain 29	NM_173505.4	10	906
ANKRD30A	ankyrin repeat domain 30A	NM_052997.3	36	4194
ANKRD30B	ankyrin repeat domain 30B	NM_001367607.2	44	4578
ANKRD31	ankyrin repeat domain 31	NM_001164443.1	25	5622
ANKRD33	ankyrin repeat domain 33	NM_182608.4	5	1359
ANKRD33B	ankyrin repeat domain 33B	NM_001164440.2	4	1485
ANKRD34A	ankyrin repeat domain 34A	NM_001039888.4	4	1491
ANKRD34B	ankyrin repeat domain 34B	NM_001004441.3	5	1545
ANKRD34C	ankyrin repeat domain 34C	NM_001146341.2	2	1608
ANKRD35	ankyrin repeat domain 35	NM_144698.5	14	3006
ANKRD36	ankyrin repeat domain 36	NM_001354587.1	76	5748
ANKRD36B	ankyrin repeat domain 36B	NM_025190.4	44	4062
ANKRD36C	ankyrin repeat domain 36C	NM_001310154.3	89	6435
ANKRD37	ankyrin repeat domain 37	NM_181726.4	5	477
ANKRD39	ankyrin repeat domain 39	NM_016466.6	4	552
ANKRD40	ankyrin repeat domain 40	NM_052855.4	5	1107
ANKRD40CL	ANKRD40 C-terminal like	NM_001358683.3	4	345
ANKRD42	ankyrin repeat domain 42	NM_001300975.2	11	1584
ANKRD44	ankyrin repeat domain 44	NM_001195144.2	28	2982
ANKRD45	ankyrin repeat domain 45	NM_198493.3	6	801
ANKRD46	ankyrin repeat domain 46	NM_001270379.2	6	699
ANKRD49	ankyrin repeat domain 49	NM_017704.3	3	720
ANKRD50	ankyrin repeat domain containing 50	NM_001167882.2	4	3753
ANKRD52	ankyrin repeat domain 52	NM_173595.4	28	3231
ANKRD53	ankyrin repeat domain 53	NM_001115116.2	6	1593
ANKRD54	ankyrin repeat domain 54	NM_138797.4	8	903
ANKRD55	ankyrin repeat domain 55	NM_024669.3	12	1845
ANKRD6	ankyrin repeat domain 6	NM_001242809.2	16	2184
